year,state,avg_alcohol_consumption,bigfoot_sightings,correlation,p_value,significant
2002.0,ALABAMA,35.275,2,0.22899092056271178,0.49821785232555565,False
2002.0,ARKANSAS,37.34342105263158,4,-0.5011574871785893,0.1163248770696499,False
2002.0,CALIFORNIA,58.46440677966102,15,0.5329113617857615,0.09142753188466034,False
2002.0,COLORADO,62.66557377049181,5,-0.2657279405553282,0.4580553718416154,False
2002.0,FLORIDA,50.80882352941177,2,0.3834921047990849,0.24432032137019388,False
2002.0,ILLINOIS,51.13106796116505,1,0.7983767491100008,0.0032175664612914367,True
2002.0,INDIANA,48.061290322580646,2,-0.04012221702226118,0.9183732599830792,False
2002.0,KENTUCKY,23.6603305785124,1,0.6130990115990611,0.044878755972156195,True
2002.0,MICHIGAN,59.33928571428572,6,-0.28238318504022986,0.4001608351975837,False
2002.0,MINNESOTA,64.13068181818181,1,-0.550330620689141,0.09927661987044988,False
2002.0,MISSOURI,46.175,2,-0.09439790573855569,0.7824915225946759,False
2002.0,NEW JERSEY,61.32272727272727,1,-0.3481229222474626,0.324252270078663,False
2002.0,NEW MEXICO,51.77941176470589,3,0.10647057012304409,0.785138476923039,False
2002.0,NEW YORK,61.22539682539682,9,-0.10007302780029104,0.7978266183251469,False
2002.0,NORTH CAROLINA,38.18316831683168,2,0.6339087004514762,0.03622446085483854,True
2002.0,OHIO,51.155056179775286,10,-0.5337395319283607,0.09082993082397232,False
2002.0,OKLAHOMA,37.84487179487179,3,-0.03133300263811774,0.9315263076551626,False
2002.0,OREGON,57.01081081081081,12,-0.7259230149339102,0.017458551433383887,True
2002.0,SOUTH CAROLINA,41.45744680851064,2,0.517224934184977,0.2345064121863927,False
2002.0,TENNESSEE,25.870833333333334,2,-0.17033408807267908,0.6165612203515833,False
2002.0,TEXAS,44.53725490196079,6,-0.33818531973461946,0.30904501884797353,False
2002.0,UTAH,28.85,1,-0.578584364400587,0.132948381785393,False
2002.0,VIRGINIA,46.98461538461538,2,0.4522551489276663,0.18941672816463573,False
2002.0,WASHINGTON,57.5925,26,-0.32824002585767886,0.32438193604815463,False
2002.0,WEST VIRGINIA,33.885714285714286,2,0.11925573407316806,0.7269056601356177,False
2002.0,WISCONSIN,67.73424657534245,2,-0.7245116249028868,0.017787475892676843,True
2002.0,WYOMING,58.74583333333334,3,-0.07897252234250535,0.8995536765906103,False
2003.0,ALABAMA,36.88970588235294,3,0.22899092056271178,0.49821785232555565,False
2003.0,ALASKA,53.15416666666667,1,-0.8360515681597287,0.1639484318402713,False
2003.0,ARIZONA,54.1375,1,-0.21840114518836606,0.5443910576768702,False
2003.0,ARKANSAS,40.069736842105264,3,-0.5011574871785893,0.1163248770696499,False
2003.0,CALIFORNIA,59.85593220338984,22,0.5329113617857615,0.09142753188466034,False
2003.0,COLORADO,63.70655737704918,1,-0.2657279405553282,0.4580553718416154,False
2003.0,DELAWARE,58.0,1,,,
2003.0,FLORIDA,52.60735294117647,7,0.3834921047990849,0.24432032137019388,False
2003.0,GEORGIA,40.314375,4,0.17363520693886036,0.6314187952325323,False
2003.0,IDAHO,48.60222222222222,3,0.46082588393922364,0.18011773580570647,False
2003.0,ILLINOIS,52.376699029126215,3,0.7983767491100008,0.0032175664612914367,True
2003.0,INDIANA,49.13548387096775,1,-0.04012221702226118,0.9183732599830792,False
2003.0,KANSAS,47.055660377358485,2,0.404080933313516,0.36861582996643294,False
2003.0,KENTUCKY,26.993388429752063,4,0.6130990115990611,0.044878755972156195,True
2003.0,LOUISIANA,42.49230769230769,1,,,
2003.0,MARYLAND,58.088,1,,,
2003.0,MICHIGAN,60.28809523809524,4,-0.28238318504022986,0.4001608351975837,False
2003.0,MISSOURI,46.60431034482759,3,-0.09439790573855569,0.7824915225946759,False
2003.0,MONTANA,61.24035087719298,1,-0.27825405835187456,0.504578011271908,False
2003.0,NEBRASKA,56.878723404255325,1,,,
2003.0,NEW HAMPSHIRE,66.68181818181819,2,0.2923064111077366,0.8111545771424739,False
2003.0,NEW JERSEY,62.48181818181818,2,-0.3481229222474626,0.324252270078663,False
2003.0,NEW MEXICO,52.5,1,0.10647057012304409,0.785138476923039,False
2003.0,NEW YORK,62.25873015873016,3,-0.10007302780029104,0.7978266183251469,False
2003.0,NORTH CAROLINA,39.55841584158416,1,0.6339087004514762,0.03622446085483854,True
2003.0,OHIO,52.10561797752808,10,-0.5337395319283607,0.09082993082397232,False
2003.0,OKLAHOMA,40.30128205128205,4,-0.03133300263811774,0.9315263076551626,False
2003.0,OREGON,58.28378378378378,9,-0.7259230149339102,0.017458551433383887,True
2003.0,PENNSYLVANIA,57.63235294117647,1,-0.6248802125595303,0.05340121153950222,False
2003.0,SOUTH CAROLINA,43.16382978723404,2,0.517224934184977,0.2345064121863927,False
2003.0,SOUTH DAKOTA,59.3179104477612,3,0.8655079925993544,0.1344920074006457,False
2003.0,TENNESSEE,28.829166666666666,4,-0.17033408807267908,0.6165612203515833,False
2003.0,TEXAS,46.512549019607846,9,-0.33818531973461946,0.30904501884797353,False
2003.0,UTAH,29.313333333333333,1,-0.578584364400587,0.132948381785393,False
2003.0,VIRGINIA,48.106923076923074,5,0.4522551489276663,0.18941672816463573,False
2003.0,WASHINGTON,58.925,15,-0.32824002585767886,0.32438193604815463,False
2003.0,WEST VIRGINIA,34.38035714285714,2,0.11925573407316806,0.7269056601356177,False
2003.0,WISCONSIN,68.54657534246574,3,-0.7245116249028868,0.017787475892676843,True
2003.0,WYOMING,59.40416666666667,2,-0.07897252234250535,0.8995536765906103,False
2004.0,ALABAMA,35.63529411764706,3,0.22899092056271178,0.49821785232555565,False
2004.0,ALASKA,51.69166666666666,4,-0.8360515681597287,0.1639484318402713,False
2004.0,ARIZONA,51.76875,2,-0.21840114518836606,0.5443910576768702,False
2004.0,ARKANSAS,38.23552631578948,4,-0.5011574871785893,0.1163248770696499,False
2004.0,CALIFORNIA,58.75254237288136,11,0.5329113617857615,0.09142753188466034,False
2004.0,COLORADO,62.03114754098361,4,-0.2657279405553282,0.4580553718416154,False
2004.0,CONNECTICUT,65.81111111111112,1,,,
2004.0,DELAWARE,56.575,1,,,
2004.0,FLORIDA,51.70882352941176,5,0.3834921047990849,0.24432032137019388,False
2004.0,GEORGIA,39.11,5,0.17363520693886036,0.6314187952325323,False
2004.0,IDAHO,47.144444444444446,3,0.46082588393922364,0.18011773580570647,False
2004.0,ILLINOIS,51.62038834951456,3,0.7983767491100008,0.0032175664612914367,True
2004.0,INDIANA,47.92043010752688,2,-0.04012221702226118,0.9183732599830792,False
2004.0,IOWA,57.662,1,0.2595734561918905,0.5347199092623003,False
2004.0,KANSAS,46.43207547169811,1,0.404080933313516,0.36861582996643294,False
2004.0,KENTUCKY,26.720661157024796,1,0.6130990115990611,0.044878755972156195,True
2004.0,MICHIGAN,58.69047619047619,4,-0.28238318504022986,0.4001608351975837,False
2004.0,MINNESOTA,63.3625,2,-0.550330620689141,0.09927661987044988,False
2004.0,MISSISSIPPI,35.93493975903614,2,-0.2941494988011327,0.8099272820864025,False
2004.0,MISSOURI,45.49224137931035,2,-0.09439790573855569,0.7824915225946759,False
2004.0,MONTANA,60.12631578947368,2,-0.27825405835187456,0.504578011271908,False
2004.0,NEVADA,58.70555555555556,1,,,
2004.0,NEW HAMPSHIRE,65.5,1,0.2923064111077366,0.8111545771424739,False
2004.0,NEW JERSEY,61.34090909090909,1,-0.3481229222474626,0.324252270078663,False
2004.0,NEW MEXICO,50.71764705882353,5,0.10647057012304409,0.785138476923039,False
2004.0,NEW YORK,60.8984126984127,6,-0.10007302780029104,0.7978266183251469,False
2004.0,NORTH CAROLINA,39.095049504950495,2,0.6339087004514762,0.03622446085483854,True
2004.0,NORTH DAKOTA,62.2537037037037,2,1.0,1.0,False
2004.0,OHIO,50.77640449438203,10,-0.5337395319283607,0.09082993082397232,False
2004.0,OKLAHOMA,39.4474358974359,6,-0.03133300263811774,0.9315263076551626,False
2004.0,OREGON,56.26216216216216,13,-0.7259230149339102,0.017458551433383887,True
2004.0,PENNSYLVANIA,56.26176470588236,4,-0.6248802125595303,0.05340121153950222,False
2004.0,SOUTH CAROLINA,41.98297872340426,2,0.517224934184977,0.2345064121863927,False
2004.0,TENNESSEE,28.604166666666668,3,-0.17033408807267908,0.6165612203515833,False
2004.0,TEXAS,44.84313725490196,17,-0.33818531973461946,0.30904501884797353,False
2004.0,UTAH,27.77,5,-0.578584364400587,0.132948381785393,False
2004.0,VIRGINIA,46.97076923076923,2,0.4522551489276663,0.18941672816463573,False
2004.0,WASHINGTON,56.9825,20,-0.32824002585767886,0.32438193604815463,False
2004.0,WEST VIRGINIA,32.82142857142857,6,0.11925573407316806,0.7269056601356177,False
2004.0,WISCONSIN,67.27260273972603,4,-0.7245116249028868,0.017787475892676843,True
2005.0,ALABAMA,36.675,3,0.22899092056271178,0.49821785232555565,False
2005.0,ARIZONA,51.975,4,-0.21840114518836606,0.5443910576768702,False
2005.0,ARKANSAS,38.46052631578947,5,-0.5011574871785893,0.1163248770696499,False
2005.0,CALIFORNIA,59.4542372881356,11,0.5329113617857615,0.09142753188466034,False
2005.0,COLORADO,62.2688524590164,6,-0.2657279405553282,0.4580553718416154,False
2005.0,CONNECTICUT,66.25555555555556,1,,,
2005.0,FLORIDA,51.88823529411765,12,0.3834921047990849,0.24432032137019388,False
2005.0,GEORGIA,39.87625,5,0.17363520693886036,0.6314187952325323,False
2005.0,IDAHO,46.91111111111111,2,0.46082588393922364,0.18011773580570647,False
2005.0,ILLINOIS,52.695145631067966,8,0.7983767491100008,0.0032175664612914367,True
2005.0,KANSAS,47.013207547169806,2,0.404080933313516,0.36861582996643294,False
2005.0,KENTUCKY,28.935537190082645,5,0.6130990115990611,0.044878755972156195,True
2005.0,LOUISIANA,41.050769230769234,1,,,
2005.0,MARYLAND,57.324,1,,,
2005.0,MICHIGAN,59.21309523809524,2,-0.28238318504022986,0.4001608351975837,False
2005.0,MINNESOTA,63.184090909090905,3,-0.550330620689141,0.09927661987044988,False
2005.0,MISSOURI,46.11810344827586,4,-0.09439790573855569,0.7824915225946759,False
2005.0,MONTANA,59.661403508771926,2,-0.27825405835187456,0.504578011271908,False
2005.0,NEBRASKA,57.05212765957447,1,,,
2005.0,NEVADA,59.0,1,,,
2005.0,NEW JERSEY,61.6,2,-0.3481229222474626,0.324252270078663,False
2005.0,NEW MEXICO,50.03823529411765,7,0.10647057012304409,0.785138476923039,False
2005.0,NEW YORK,61.282539682539685,2,-0.10007302780029104,0.7978266183251469,False
2005.0,NORTH CAROLINA,41.032673267326736,2,0.6339087004514762,0.03622446085483854,True
2005.0,NORTH DAKOTA,61.86851851851852,1,1.0,1.0,False
2005.0,OHIO,51.82247191011236,9,-0.5337395319283607,0.09082993082397232,False
2005.0,OKLAHOMA,39.965384615384615,4,-0.03133300263811774,0.9315263076551626,False
2005.0,OREGON,57.32972972972973,6,-0.7259230149339102,0.017458551433383887,True
2005.0,PENNSYLVANIA,56.59117647058823,1,-0.6248802125595303,0.05340121153950222,False
2005.0,SOUTH CAROLINA,43.64042553191489,2,0.517224934184977,0.2345064121863927,False
2005.0,TENNESSEE,30.03645833333333,3,-0.17033408807267908,0.6165612203515833,False
2005.0,TEXAS,44.94862745098039,10,-0.33818531973461946,0.30904501884797353,False
2005.0,UTAH,27.94333333333333,4,-0.578584364400587,0.132948381785393,False
2005.0,VERMONT,66.22666666666666,2,,,
2005.0,VIRGINIA,48.152307692307694,1,0.4522551489276663,0.18941672816463573,False
2005.0,WASHINGTON,57.7275,24,-0.32824002585767886,0.32438193604815463,False
2005.0,WEST VIRGINIA,33.61607142857143,8,0.11925573407316806,0.7269056601356177,False
2005.0,WISCONSIN,67.91369863013698,1,-0.7245116249028868,0.017787475892676843,True
2005.0,WYOMING,58.325,1,-0.07897252234250535,0.8995536765906103,False
2006.0,ALABAMA,35.213235294117645,1,0.22899092056271178,0.49821785232555565,False
2006.0,ARIZONA,51.86875,9,-0.21840114518836606,0.5443910576768702,False
2006.0,ARKANSAS,38.88157894736842,2,-0.5011574871785893,0.1163248770696499,False
2006.0,CALIFORNIA,58.167796610169496,13,0.5329113617857615,0.09142753188466034,False
2006.0,COLORADO,62.18524590163935,3,-0.2657279405553282,0.4580553718416154,False
2006.0,FLORIDA,51.29264705882353,18,0.3834921047990849,0.24432032137019388,False
2006.0,GEORGIA,39.766875,8,0.17363520693886036,0.6314187952325323,False
2006.0,IDAHO,47.31555555555555,5,0.46082588393922364,0.18011773580570647,False
2006.0,ILLINOIS,53.2757281553398,9,0.7983767491100008,0.0032175664612914367,True
2006.0,INDIANA,49.08924731182796,5,-0.04012221702226118,0.9183732599830792,False
2006.0,IOWA,58.77,3,0.2595734561918905,0.5347199092623003,False
2006.0,KENTUCKY,28.15289256198347,4,0.6130990115990611,0.044878755972156195,True
2006.0,MARYLAND,57.264,1,,,
2006.0,MASSACHUSETTS,66.08666666666667,1,0.6677184603340824,0.21810449815393887,False
2006.0,MICHIGAN,59.30595238095238,9,-0.28238318504022986,0.4001608351975837,False
2006.0,MINNESOTA,62.22159090909091,3,-0.550330620689141,0.09927661987044988,False
2006.0,MISSISSIPPI,35.44578313253012,1,-0.2941494988011327,0.8099272820864025,False
2006.0,MISSOURI,46.95603448275862,4,-0.09439790573855569,0.7824915225946759,False
2006.0,MONTANA,59.84736842105264,3,-0.27825405835187456,0.504578011271908,False
2006.0,NEBRASKA,57.45106382978723,1,,,
2006.0,NEW JERSEY,60.595454545454544,4,-0.3481229222474626,0.324252270078663,False
2006.0,NEW MEXICO,49.58529411764706,1,0.10647057012304409,0.785138476923039,False
2006.0,NEW YORK,60.74603174603175,2,-0.10007302780029104,0.7978266183251469,False
2006.0,NORTH CAROLINA,41.51485148514851,2,0.6339087004514762,0.03622446085483854,True
2006.0,OHIO,52.03820224719101,3,-0.5337395319283607,0.09082993082397232,False
2006.0,OREGON,57.22702702702703,5,-0.7259230149339102,0.017458551433383887,True
2006.0,PENNSYLVANIA,56.06617647058823,2,-0.6248802125595303,0.05340121153950222,False
2006.0,RHODE ISLAND,67.76666666666667,1,,,
2006.0,SOUTH CAROLINA,43.41063829787234,2,0.517224934184977,0.2345064121863927,False
2006.0,SOUTH DAKOTA,57.19850746268657,2,0.8655079925993544,0.1344920074006457,False
2006.0,TENNESSEE,28.629166666666663,5,-0.17033408807267908,0.6165612203515833,False
2006.0,TEXAS,44.30666666666667,7,-0.33818531973461946,0.30904501884797353,False
2006.0,UTAH,27.90666666666667,4,-0.578584364400587,0.132948381785393,False
2006.0,VIRGINIA,48.14384615384616,1,0.4522551489276663,0.18941672816463573,False
2006.0,WASHINGTON,57.19500000000001,21,-0.32824002585767886,0.32438193604815463,False
2006.0,WEST VIRGINIA,33.80357142857143,6,0.11925573407316806,0.7269056601356177,False
2006.0,WISCONSIN,67.86986301369863,2,-0.7245116249028868,0.017787475892676843,True
2007.0,ALABAMA,36.07941176470588,4,0.22899092056271178,0.49821785232555565,False
2007.0,ARIZONA,52.2,6,-0.21840114518836606,0.5443910576768702,False
2007.0,ARKANSAS,39.580263157894734,1,-0.5011574871785893,0.1163248770696499,False
2007.0,CALIFORNIA,58.60508474576271,13,0.5329113617857615,0.09142753188466034,False
2007.0,FLORIDA,51.24411764705882,12,0.3834921047990849,0.24432032137019388,False
2007.0,GEORGIA,40.489375,8,0.17363520693886036,0.6314187952325323,False
2007.0,IDAHO,47.757777777777775,3,0.46082588393922364,0.18011773580570647,False
2007.0,ILLINOIS,54.00776699029127,5,0.7983767491100008,0.0032175664612914367,True
2007.0,IOWA,58.92100000000001,3,0.2595734561918905,0.5347199092623003,False
